,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Faltan,,Abreviaciones
Especiales/FWC,,x,x,,,x,x,x,x,x,,,x,x,,,x,x,x,,8,,FWC
Mexico,,,,,x,x,x,,x,,x,x,,x,x,x,,x,x,x,8,,MEX
Sudafrica,x,,,x,x,x,,,x,x,,x,,,x,,x,,x,,10,,RSA
Korea,x,x,x,x,x,,x,,,,x,,x,x,,,x,x,,x,8,,KOR
Rep. Checa,x,x,x,x,,x,x,x,x,x,x,x,,x,x,,x,x,x,x,3,,CZE
Canada,,x,x,x,x,,,,x,x,,x,x,x,,x,x,x,,,8,,CAN
Bosnia,x,x,,x,,x,,x,,x,x,,x,x,x,x,x,,x,,7,,BIH
Qatar,,,x,x,x,x,x,x,x,,x,,,x,x,x,,x,x,x,6,,QAT
Suiza,,x,x,,x,x,x,x,x,x,,,,x,x,x,,,x,x,7,,SUI
Brasil,x,x,x,,,x,x,,x,x,x,,x,x,x,x,,x,x,x,5,,BRA
Marruecos,x,,,,x,x,x,,,x,x,x,x,,x,x,,,,x,9,,MAR
Haiti,,,x,x,x,,x,,x,,,,x,x,,,,x,,x,11,,HAI
Escocia,x,x,,,,,,x,,x,x,,,,x,x,,,x,x,11,,SCO
USA,,x,x,x,,x,x,x,x,x,,,x,x,x,,,,x,x,7,,USA
Paraguay,x,x,,x,,,x,,,,x,,,,,x,,x,,x,12,,PAR
Australia,,,x,x,x,,,x,x,x,,x,x,,,,x,,,,11,,AUS
Turquía,x,,x,x,,,,x,,x,x,x,,,,,x,x,,,11,,TUR
Alemania,x,,x,,,x,x,x,,x,x,x,x,,x,x,,x,,x,7,,GER
Curazao,,x,x,,,x,,,,x,,,x,,,x,,,x,x,12,,CUW
Costa de Marfil,x,x,x,,,x,x,,x,,,,x,x,x,x,x,,x,x,7,,CIV
Ecuador,,x,,x,x,,,x,x,x,X,,,x,,x,x,x,,,9,,ECU
Holanda,x,,x,x,x,,,x,x,,x,x,,x,x,x,x,x,,x,6,,NED
Japon ,x,x,,x,x,x,x,,x,x,x,,x,x,x,x,,,x,x,5,,JPN
Suecia,,x,x,X,,x,,x,x,x,x,x,,,x,x,,,x,,8,,SWE
Tunez,x,,,x,,,x,x,x,,x,x,x,x,,x,x,x,x,x,6,,TUN
Bélgica,x,x,,x,,,,x,x,x,x,x,x,x,,,x,x,,x,7,,BEL
Egipto,x,x,x,,x,x,x,,,x,x,x,,,,x,,x,,x,8,,EGY
Iran,x,,x,,x,,x,,x,,,,x,x,x,,x,x,x,x,8,,IRN
Nueva Zelanda,x,,x,x,x,,,,x,x,x,,,x,,x,x,,x,,9,,NZE
España,x,x,x,,x,,x,x,X,x,x,x,,,,,,,x,x,8,,ESP
Cabo Verde,,x,x,,x,x,,,x,x,,,,x,,,,x,x,x,10,,CPV
Arabia Saudita,,,x,x,x,x,,,x,x,x,x,,,,,,,X,,11,,KSA
Uruguay,,x,,x,x,x,x,x,x,x,x,x,x,x,x,X,x,,x,,4,,URU
Francia,x,,,x,x,,,x,x,x,,x,x,x,,,,,,,11,,FRA
Senegal,,,,,x,,x,x,,x,,x,x,,x,x,,x,x,x,9,,SEN
Iraq,,,,x,,x,x,x,,,x,,x,,,x,x,,x,x,10,,IRQ
Noruega,,x,x,,,x,x,x,x,x,x,,,x,x,x,,x,,x,7,,NOR
Argentina,,x,x,x,,x,x,,x,x,x,,x,,x,x,,x,x,x,6,,ARG
Argelia ,x,x,x,x,x,,x,x,x,x,,x,x,x,,,x,x,,x,5,,ALG
Austria,x,x,,,x,x,,,,x,,,,,x,,,,x,x,12,,AUT
Micheal Jordan,x,x,x,,x,,,,x,,x,x,x,,x,x,,,x,x,8,,JOR
Portugal,,x,x,,x,x,x,x,x,x,x,,x,,x,x,,x,x,x,5,,POR
Congo,x,x,x,x,,x,x,x,,,x,x,x,,,,x,,,x,8,,COD
Uzbekistan,,,,x,,x,,x,,,x,x,,,x,x,x,,x,x,10,,UZB
Colombia,,x,,x,x,x,,x,x,,x,,,,x,x,x,x,,,9,,COL
Inglaterra,x,,,x,,x,x,,,,x,x,x,x,,x,,x,x,,9,,ENG
Croacia,x,x,x,x,x,,x,x,x,,,x,x,x,x,x,,,,,7,,CRO
Ghana,,,,,x,,,x,x,,x,x,x,x,,x,x,x,x,,9,,GHA
Panama,x,x,,x,,x,,x,x,,,,x,,,,x,x,,,11,,PAN
TOTAL,,,,,,,,,,,,,,,,,,,,,577,59%,